영업상태명,지번주소,사업장명
영업/정상,서울특별시 도봉구 창동 659-32 (지상2층) ,경원식당 쌍문역점
영업/정상,서울특별시 도봉구 창동 601-59,이가네바지락칼국수
영업/정상,서울특별시 도봉구 창동 135-12번지 ,훼미리
영업/정상,서울특별시 도봉구 창동 731-34 ,돼지제국
영업/정상,서울특별시 도봉구 창동 135-14번지 ,장수왕족발
영업/정상,서울특별시 도봉구 창동 135-14번지 ,페리카나
영업/정상,서울특별시 도봉구 창동 552-13번지 1층 ,묵고갈래솥뚜껑삼겹살
영업/정상,"서울특별시 도봉구 창동 10-3 세정빌딩 107,108,109호(지상1층)",토영자갈치곰장어
영업/정상,서울특별시 도봉구 창동 135-12번지 ,장수식당
영업/정상,서울특별시 도봉구 창동 135-14번지 ,맥켄치킨
영업/정상,서울특별시 도봉구 창동 568-2번지 지상1층 ,장원삼계탕
영업/정상,서울특별시 도봉구 창동 357-0번지 ,갯마을식당
영업/정상,서울특별시 도봉구 창동 655-1 ,반햇닭
영업/정상,서울특별시 도봉구 창동 553-28 ,행운
영업/정상,서울특별시 도봉구 창동 581-8 ,정주식당
영업/정상,서울특별시 도봉구 창동 502-26 ,플러스
영업/정상,서울특별시 도봉구 창동 6-0번지 콤마빌딩 107호,브롱스(BRONX)창동점
영업/정상,서울특별시 도봉구 창동 10-0 점보타운 1층 4호 ,뚱이네 호프
영업/정상,서울특별시 도봉구 창동 10-3 세정빌딩 ,의정부 부대찌게
영업/정상,서울특별시 도봉구 창동 12-1 영진빌딩 103호,압구정 찌개마을
영업/정상,서울특별시 도봉구 창동 715-62번지 1층 ,동해세수대야동태탕(창동점)
영업/정상,서울특별시 도봉구 창동 331-2 중앙빌딩107호 ,중앙호프
영업/정상,서울특별시 도봉구 창동 608-140번지 ,창동삼합
영업/정상,"서울특별시 도봉구 창동 651-51번지 지상2,3층 ",뚱보냉면
영업/정상,서울특별시 도봉구 창동 258-12번지 ,영자네곱창
영업/정상,서울특별시 도봉구 창동 12-2,가장맛있는족발
영업/정상,서울특별시 도봉구 창동 657-82번지 ,원조냉면
영업/정상,서울특별시 도봉구 창동 661-33번지 ,훈이네감자탕
영업/정상,서울특별시 도봉구 창동 569-98 (1층) ,강가네 마포숯불갈비
영업/정상,서울특별시 도봉구 창동 609-33번지 ,감나무집
영업/정상,서울특별시 도봉구 창동 635-5번지 (2층) ,화원
영업/정상,서울특별시 도봉구 창동 562-17번지 ,오대양식당
영업/정상,서울특별시 도봉구 창동 333-0번지 동방프라자 201호,제일식당
영업/정상,서울특별시 도봉구 창동 74-7번지 ,만랩커피창동역점
영업/정상,"서울특별시 도봉구 창동 10-1번지 1층 8호, 9호 ",북청식당
영업/정상,서울특별시 도봉구 창동 655-6 ,해로
영업/정상,서울특별시 도봉구 창동 501-20 ,메가엠지씨커피 창동신창점
영업/정상,서울특별시 도봉구 창동 6-0번지 콤마빌딩 104호,종로빈대떡
영업/정상,서울특별시 도봉구 창동 13-0번지 ,베를린호프
영업/정상,서울특별시 도봉구 창동 715-27 1층 ,전골집
영업/정상,서울특별시 도봉구 창동 135-12번지 ,사누끼
영업/정상,서울특별시 도봉구 창동 135-14번지 신성빌딩 107호 ,청진동해장국
영업/정상,서울특별시 도봉구 창동 715-32번지 지상1층 ,설담재 설렁탕
영업/정상,서울특별시 도봉구 창동 557-79 ,등촌샤브칼국수 창동점
영업/정상,서울특별시 도봉구 창동 135-12번지 지하1층 ,두메골
영업/정상,서울특별시 도봉구 창동 661-16번지 ,소담식당
영업/정상,서울특별시 도봉구 창동 581-28번지 삼익상가 지하동 5호,초롱이분식
영업/정상,서울특별시 도봉구 창동 581-55 지상1층 ,일성식당
영업/정상,서울특별시 도봉구 창동 582-7번지 ,찰진순대집
영업/정상,서울특별시 도봉구 창동 804번지 ,처갓집양념치킨(창동점)
영업/정상,서울특별시 도봉구 창동 557-79,솔이네 한식뷔페 한돈 돌판구이
