name,category,address,rating,phone,blog_reviews,visitor_reviews,menus,hours,facilites,error
경원식당 쌍문역점,한식,서울 도봉구 도봉로110나길 31 2층,,0507-1413-1717,29.0,233.0,"부대찌개, 김치찌개, 생삼겹살","매일: 10:00 - 23:00
22:30 라스트오더",주차,
이가네바지락칼국수,"칼국수,만두",서울 중랑구 겸재로 218,,02-433-3633,160.0,1500.0,"바지락칼국수, 바지락칼제비, 바지락얼큰수제비, 팥칼국수","매일: 10:00 - 21:00
20:30 라스트오더","포장, 예약",
동남훼미리아파트,아파트,경기 화성시 정남면 만년로 470,,,,,,,,name 'NoSuchElementException' is not defined
돼지제국,한식,서울 도봉구 해등로16길 7 1층 돼지제국,,02-900-1392,70.0,432.0,"생삼겹살, 꽃목살, 항정살, 김치전골","토: 11:00 - 23:00
22:00 라스트오더, 일: 11:00 - 23:00
22:00 라스트오더, 월: 정기휴무 (매주 월요일), 화: 11:00 - 23:00
22:00 라스트오더, 수: 11:00 - 23:00
22:00 라스트오더, 목: 11:00 - 23:00
22:00 라스트오더, 금: 11:00 - 23:00
22:00 라스트오더","단체 이용 가능, 포장, 유아의자, 남/녀 화장실 구분, 주차, 발렛파킹",
장수왕족발,"족발,보쌈",서울 광진구 아차산로 312 1층 104호,,0507-1372-4490,70.0,388.0,"장수오합(대), 장수오합(중), 문어삼합, 홍어삼합","토: 12:00 - 24:00
23:30 라스트오더, 일: 12:00 - 24:00
23:30 라스트오더, 월: 정기휴무 (매주 월요일), 화: 15:00 - 24:00
23:30 라스트오더, 수: 15:00 - 24:00
23:30 라스트오더, 목: 15:00 - 24:00
23:30 라스트오더, 금: 15:00 - 24:00
23:30 라스트오더","포장, 배달, 단체 이용 가능, 예약, 무선 인터넷, 대기공간, 남/녀 화장실 구분, 주차",
페리카나 미사1점,"치킨,닭강정",경기 하남시 미사강변중앙로 223 113호,,0507-1375-3792,39.0,90.0,"홍단 치킨, 반반 치킨, 양념 치킨, 후라이드 치킨","토: 11:00 - 23:50, 일: 11:00 - 23:50, 월: 17:00 - 22:50, 화: 17:00 - 22:50, 수: 13:30 - 22:50, 목: 13:30 - 22:50, 금: 11:00 - 23:50","포장, 배달, 단체 이용 가능, 무선 인터넷, 반려동물 동반, 남/녀 화장실 구분, 예약, 간편결제, 주차",
묵고갈래솥뚜껑삼겹살1호점,돼지고기구이,서울 도봉구 덕릉로54길 6,,070-4647-4831,23.0,211.0,"생삼겹살, 생오겹살, 생목살, 항정살","토: 14:00 - 24:00, 일: 14:00 - 24:00, 월: 14:00 - 24:00, 화: 14:00 - 24:00, 수: 14:00 - 24:00, 목: 14:00 - 24:00, 금: 14:00 - 24:00","주차, 포장, 예약",
토영자갈치곰장어,"장어,먹장어요리",서울 도봉구 노해로69길 15 1층 토영자갈치곰장어,,02-999-2588,45.0,196.0,"곰장어소금구이, 곰장어양념구이, 충무김밥, 청국장","토: 15:00 - 04:00, 일: 15:00 - 01:00, 월: 15:00 - 04:00, 화: 15:00 - 04:00, 수: 15:00 - 04:00, 목: 15:00 - 04:00, 금: 15:00 - 04:00","예약, 단체 이용 가능, 주차, 포장, 남/녀 화장실 구분, 무선 인터넷",
한우랑사과 식당,소고기구이,전북 장수군 계남면 장수로 2794 한우랑사과,,0507-1438-1592,33.0,602.0,"갈비탕, 소불고기 전골, 육회비빔밥, 한우 갈비살 400g","매일: 11:00 - 21:00
20:00 라스트오더","단체 이용 가능, 예약, 남/녀 화장실 구분, 무선 인터넷, 반려동물 동반, 포장, 유아의자, 대기공간, 주차",
맥켄치킨 천호행복표점,"치킨,닭강정",서울 강동구 양재대로123길 56,,02-472-9777,3.0,24.0,"핫치킨, 후라이드치킨, 양념치킨, 반반치킨",매일: 13:00 - 23:00,,
